职位,公司,薪资,年薪,城市,区域,经验,学历,公司性质,公司规模,标签
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,20000.0,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,12500.0,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python测试/python开发,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
Python开发工程师,郑州海奥软件科技有限公司,17500.0,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,14000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,20000.0,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,12500.0,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python测试/python开发,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
Python开发工程师,郑州海奥软件科技有限公司,17500.0,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,14000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,20000.0,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,12500.0,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python测试/python开发,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
Python开发工程师,郑州海奥软件科技有限公司,17500.0,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,14000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,20000.0,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,12500.0,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python测试/python开发,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
Python开发工程师,郑州海奥软件科技有限公司,17500.0,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,14000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,20000.0,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,12500.0,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python测试/python开发,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
Python开发工程师,郑州海奥软件科技有限公司,17500.0,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,14000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,20000.0,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,12500.0,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python测试/python开发,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
Python开发工程师,郑州海奥软件科技有限公司,17500.0,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,14000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,20000.0,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,12500.0,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python测试/python开发,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
Python开发工程师,郑州海奥软件科技有限公司,17500.0,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,14000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,23500.0,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),15000.0,15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,16000.0,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,20000.0,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
Python开发工程师,润和软件,12500.0,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python开发工程师,中讯志远(武汉)科技有限公司,11000.0,12,上海,奉贤,1-3年,大专,民营,100-299人,Java.软件工程师
python爬虫工程师,世唐云科(北京)科技有限公司,18500.0,12,上海,浦东,经验不限,学历不限,未知,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师,上海叠腾网络科技有限公司,25000.0,12,上海,徐汇,3-5年,本科,合资,20-99人,工具类产品.人工智能.Python
Python自动化开发,中电金信软件有限公司,14000.0,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python,上海坤亿信息技术有限公司,13500.0,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,15000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,27500.0,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python后端开发工程师,上海媒智科技有限公司,20000.0,13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,20000.0,13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,13500.0,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,22500.0,16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,16000.0,12,上海,未知,1-3年,大专,未知,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,20000.0,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,13000.0,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
